Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
CTD-2035E11.3,ENSG00000251131,0,0,0,0.015583350420340373,0.006715572390889764,148,98.4826737748616,152.0,2.184691430817599
CTD-2035E11.4,ENSG00000272382,0,0,0,0.0008201763379126512,0.0003560520649549424,8,99.91798236620873,8.0,0.9542425094393249
ANXA2R,ENSG00000177721,0,0,0,0.09165470576173877,0.03808529121107116,815,91.64445355751486,894.0,2.951823035315912
AC025171.1,ENSG00000215068,0,0,0,0.011892556899733443,0.005134401414089212,115,98.82099651425055,116.0,2.0681858617461617
CTD-2035E11.5,ENSG00000272144,0,0,0,0.009329505843756407,0.004032969218589469,91,99.06704941562437,91.0,1.9637878273455553
ZNF131,ENSG00000172262,0,0,0,0.22616362517941357,0.08854842839684454,1853,81.00266557309821,2206.0,3.343802333161655
NIM1K,ENSG00000177453,0,0,0,0.0008201763379126512,0.0003560520649549424,8,99.91798236620873,8.0,0.9542425094393249
CTD-2636A23.2,ENSG00000261604,0,0,0,0.0,0.0,0,100.0,0.0,0.0
HMGCS1,ENSG00000112972,0,0,0,0.06059052696329711,0.025547743746205887,547,94.39204428952225,591.0,2.77232170672292
CCL28,ENSG00000151882,0,0,0,0.07627639942587656,0.03192381717657428,681,93.01824892351856,744.0,2.8721562727482928
C5orf28,ENSG00000151881,0,0,0,0.049518146401476316,0.02098995203123109,458,95.30449046545007,483.0,2.6848453616444123
C5orf34,ENSG00000172244,0,0,0,0.013327865491080582,0.0057499854744943,125,98.71847447201148,130.0,2.1172712956557644
RP11-159F24.6,ENSG00000248554,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-159F24.5,ENSG00000248240,0,0,0,0.0004100881689563256,0.00017806252069994778,4,99.95899118310436,4.0,0.6989700043360189
PAIP1,ENSG00000172239,0,0,0,0.12169366413778962,0.04987426677789625,1056,89.17367233955301,1187.0,3.074816440645175
NNT-AS1,ENSG00000248092,0,0,0,0.114619643223293,0.047126692468890403,988,89.87082222677876,1118.0,3.04883008652835
NNT,ENSG00000112992,0,0,0,0.1338937871642403,0.054572375713131914,1148,88.23046955095346,1306.0,3.116275587580544
RP11-8L21.1,ENSG00000249276,0,0,0,0.0,0.0,0,100.0,0.0,0.0
FGF10,ENSG00000070193,0,0,0,0.0,0.0,0,100.0,0.0,0.0
FGF10-AS1,ENSG00000248464,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-473L15.3,ENSG00000249203,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-503D12.1,ENSG00000250418,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-53O19.1,ENSG00000251141,0,0,0,0.002870617182694279,0.001244907229715977,28,99.71293828173057,28.0,1.462397997898956
